gender,Age_Group,age,height,weight,neck,chest,waist,hip,shoulder_length,back_length,arm_length,leg_length,shoulder_width,torso_length,hip_length,back_center_length,BMI,gender_label
F,20대,24.69572953736655,1612.8914590747331,55.780249110320284,316.9626334519573,867.6939501779359,724.5124555160143,934.973309608541,132.2064056939502,392.49341637010673,537.3772241992882,998.2615658362989,351.79181494661924,630.9021352313167,251.74021352313167,436.1553380782918,0.21435543584286806,0.0
F,30대,34.943396226415096,1619.0471698113208,57.24732704402516,319.2169811320755,872.7232704402516,746.0974842767296,942.3584905660377,133.95440251572327,396.5990566037736,535.8286163522013,1001.688679245283,354.00943396226415,640.0408805031446,256.9166666666667,443.65723270440253,0.21825155069047708,0.0
F,40대,44.01627486437613,1606.2061482820977,58.86636528028933,325.6021699819168,892.5895117540687,779.4611211573236,947.9005424954792,133.96021699819167,399.7251356238698,526.8227848101266,986.0470162748644,355.1446654611212,643.6130198915009,255.04701627486438,451.2007233273056,0.22828086783854384,0.0
F,50대,54.315010570824526,1578.6976744186047,58.02811839323467,327.892177589852,898.8837209302326,799.9069767441861,935.8372093023256,133.43974630021143,395.9154334038055,516.76955602537,965.1543340380549,352.9344608879493,635.6553911205074,250.36363636363637,446.69767441860466,0.23289135544516548,0.0
F,60대 이상,64.24615384615385,1555.1736263736263,57.838241758241765,330.64395604395605,903.3912087912088,828.1406593406593,926.2703296703297,133.3054945054945,392.4725274725275,514.356043956044,949.5538461538462,349.21318681318684,627.8087912087913,247.13626373626374,441.9098901098901,0.23913759190999845,0.0
M,20대,24.504317789291882,1740.1623488773748,72.10518134715026,370.5198618307427,996.4887737478412,817.2348877374784,963.5889464594128,149.0690846286701,433.97236614853193,585.0034542314335,1065.972366148532,400.19170984455957,690.1416234887738,271.4024179620034,477.8998272884283,0.23798522105676445,1.0
M,30대,34.64859002169197,1744.819956616052,76.9470715835141,380.7353579175705,1023.3036876355749,865.4511930585684,983.5140997830803,148.71366594360086,437.943600867679,586.4793926247288,1071.34273318872,400.54446854663775,701.9826464208243,280.8524945770065,487.94793926247286,0.2524259623016291,1.0
M,40대,44.4421768707483,1729.9092970521542,75.48730158730159,385.07936507936506,1019.0408163265306,886.0793650793651,974.2857142857143,148.25850340136054,442.4965986394558,575.8253968253969,1051.1360544217687,398.7891156462585,704.3718820861678,274.50566893424036,488.0045351473923,0.25192500273983537,1.0
M,50대,54.459649122807015,1703.3473684210526,72.60280701754385,386.88421052631577,1003.3789473684211,891.2491228070176,958.6245614035088,146.65263157894736,441.68070175438595,565.859649122807,1027.0666666666666,394.1719298245614,697.1228070175439,267.35087719298247,483.95087719298243,0.2499894998562148,1.0
M,60대 이상,64.74778761061947,1682.7898230088495,69.88030973451328,383.5575221238938,985.1548672566372,890.2433628318585,939.8451327433628,144.15929203539824,436.4358407079646,562.9159292035398,1018.4070796460177,387.7146017699115,691.433628318584,268.7212389380531,480.7411504424779,0.24649260854122418,1.0
